"","SubplotCode","StrmID","cHei","cWid","depth","RRP","bandNum","covCount","sand","siltClay","gravel","rock","wood","litter","veg","tot","DO","DCHE","ECIR","CHOW","DPER","PSRUB","CAM","SAL","EGUT","salCount","crayCount","sealPres","sealStream","areaSearched","DCHE_m2","DCHE_index"
"1","STRM05-1-1","STRM05",36,200,8,"run",1,3.5,32.5,5,22.5,2.5,0,35,2.5,100,73.2,0,1,0,2,0,0,0,0,3,0,0,0,4,0,0
"2","STRM05-1-2","STRM05",59,270,3,"run",2,13,17.5,2.5,16.25,8.75,0,55,0,100,73.6,0,0,0,3,0,0,0,0,3,0,0,0,5.4,0,0
"3","STRM05-1-3","STRM05",57.5,280,6.5,"riffle",3,9.5,10,2.5,12.5,5,0,70,0,100,72.2,0,1,0,1,0,0,0,0,2,0,0,0,5.6,0,0
"4","STRM05-1-4","STRM05",57,255,7.5,"run",4,3,42.5,17.5,2.5,5,0,32.5,0,100,71.7,0,1,0,0,0,1,0,0,1,1,0,0,5.1,0,0
"5","STRM05-1-5","STRM05",38.5,18.5,8,"riffle/pool",5,6,32.5,7.5,5,2.5,0,52.5,0,100,70.5,0,2,0,0,0,2,0,0,2,2,0,0,0.37,0,0
"6","STRM01-1-1","STRM01",51,175,5,"step",1,14.5,5,1.25,2.5,17.5,1.25,57.5,15,100,78.6,2,1,0,2,0,0,0,0,5,0,1,1,3.5,0.0002285714286,1.58e-05
"7","STRM01-1-2","STRM01",62.5,198,3.5,"riffle",2,17,3.75,0,8.75,50,2.5,32.5,2.5,100,79.5,1,1,0,0,0,0,0,0,2,0,1,1,3.96,0.000101010101,5.94e-06
"8","STRM01-1-3","STRM01",34.5,150,5,"step/pool",3,30,10,0,0,60,5,20,5,100,78.9,0,0,0,2,0,0,0,0,2,0,0,1,3,0,0
"9","STRM01-1-4","STRM01",37.5,206,7,"step/pool",4,17.5,5,0,27.5,22.5,5,25,15,100,78.9,2,2,0,1,0,0,0,0,5,0,1,1,4.12,0.0001941747573,1.11e-05
"10","STRM01-1-5","STRM01",43,260,8,"step",5,13,2.5,2.5,2.5,20,0,50,22.5,100,78.5,2,0,0,2,0,0,0,0,4,0,1,1,5.2,0.0001538461538,1.18e-05
"11","STRM03-1-1","STRM03",50,442,3,"riffle",1,30.5,7.5,2.5,12.5,67.5,0,10,0,100,79.4,0,3,0,5,0,1,0,1,9,1,0,0,8.84,0,0
"12","STRM03-1-2","STRM03",51.5,407,8.5,"run",2,22,40,5,15,30,0,10,0,100,79.1,0,1,0,0,0,1,0,0,1,1,0,0,8.14,0,0
"13","STRM03-1-3","STRM03",78,333,6.5,"run",3,24,25,0,17.5,47.5,0,10,0,100,79,0,1,0,1,0,1,1,0,3,1,0,0,6.66,0,0
"14","STRM03-1-4","STRM03",98.5,340,8.5,"run",4,30.5,2.5,0,10,55,0,27.5,0,95,79.1,0,1,0,2,1,1,0,0,4,1,0,0,6.8,0,0
"15","STRM03-1-5","STRM03",114.5,478,9,"run",5,33,2.5,0,27.5,50,0,20,0,100,79.7,0,0,0,1,0,1,0,0,1,1,0,0,9.56,0,0
"16","STRM08-1-1","STRM08",41.5,170,2,"step/pool",1,38,0,0,0,70,7.5,17.5,5,100,NA,0,0,0,2,0,0,0,0,2,0,0,1,3.4,0,0
"17","STRM08-1-2","STRM08",34.5,165,1,"step/pool",2,37.5,0,0,2.5,87.5,5,5,0,100,75.2,0,0,1,1,0,0,0,0,1,1,0,1,3.3,0,0
"18","STRM08-1-3","STRM08",31.5,183,1.5,"step/pool",3,25,0,0,5,72.5,0,15,7.5,100,75.9,2,0,0,1,0,0,0,0,3,0,1,1,3.66,0.000218579235,8.74e-06
"19","STRM08-1-4","STRM08",46,190,4.5,"step/pool",4,27,0,0,22.5,27.5,2.5,32.5,15,100,76.2,0,0,0,0,0,0,0,0,0,0,0,1,3.8,0,0
"20","STRM08-1-5","STRM08",44.5,220,0.5,"step/pool",5,24.5,0,0,5,47.5,0,22.5,25,100,77.4,1,0,0,3,0,0,0,0,4,0,1,1,4.4,9.09e-05,3.71e-06
"21","STRM07-1-1","STRM07",43,340,4.5,"riffle",1,22,10,10,15,45,12.5,7.5,0,100,71.9,3,0,4,1,1,0,1,0,6,4,1,1,6.8,0.0001764705882,8.02e-06
"22","STRM07-1-2","STRM07",31.5,150,7,"run",2,25.5,7.5,5,12.5,65,0,10,0,100,73.3,2,0,1,0,0,0,0,0,2,1,1,1,3,0.0002666666667,1.05e-05
"23","STRM07-1-3","STRM07",19,135,5,"riffle",3,15,12.5,22.5,5,50,0,10,0,100,72,2,0,0,4,0,0,0,0,6,0,1,1,2.7,0.0002962962963,1.98e-05
"24","STRM07-1-4","STRM07",26,215,7,"run",4,21,45,7.5,15,27.5,0,5,0,100,71.6,3,1,0,0,0,0,0,0,4,0,1,1,4.3,0.0002790697674,1.33e-05
"25","STRM07-1-5","STRM07",19.5,245,3,"pool",5,24,12.5,5,40,37.5,0,5,0,100,71.4,3,2,0,0,0,1,0,0,5,1,1,1,4.9,0.0002448979592,1.02e-05
"26","STRM04-1-1","STRM04",12,61,0,"seep",1,19,5,15,35,20,0,25,0,100,78.3,0,0,0,1,0,0,0,0,1,0,0,1,1.22,0,0
"27","STRM04-1-2","STRM04",21,78,0,"seep",2,10,0,15,5,15,0,55,10,100,NA,0,0,0,2,0,0,0,0,2,0,0,1,1.56,0,0
"28","STRM04-1-3","STRM04",31,200,0,"seep",3,13,0,15,10,20,0,50,5,100,80.6,0,1,0,1,0,0,0,0,2,0,0,1,4,0,0
"29","STRM04-1-4","STRM04",29,167,0,"seep",4,20,0,7.5,15,37.5,5,30,5,100,NA,1,1,0,4,0,0,0,0,6,0,1,1,3.34,0.000119760479,5.99e-06
"30","STRM04-1-5","STRM04",31,95,0,"seep",5,12,1.25,6.25,20,10,0,55,7.5,100,NA,2,1,0,2,0,0,0,0,5,0,1,1,1.9,0.0004210526316,3.51e-05
"31","STRM11-2-1","STRM11",46,308,8.5,"riffle",1,23,15,7.5,20,27.5,5,20,5,100,73,0,0,0,3,0,1,0,0,3,1,0,0,6.16,0,0
"32","STRM11-2-2","STRM11",70.5,280,21,"pool",2,7,7.5,2.5,30,25,15,20,0,100,72.9,0,0,0,0,0,1,0,0,0,1,0,0,5.6,0,0
"33","STRM11-2-3","STRM11",64.5,135,8.5,"run",3,13,20,2.5,7.5,15,25,27.5,2.5,100,73.6,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0
"34","STRM11-2-4","STRM11",63.5,205,7,"riffle",4,30.5,2.5,0,37.5,52.5,0,7.5,0,100,74.2,0,0,0,6,0,1,1,0,7,1,0,0,4.1,0,0
"35","STRM11-2-5","STRM11",37.5,190,4,"riffle/run",5,42.5,5,0,70,17.5,0,5,2.5,100,74.4,0,1,0,5,0,0,1,0,7,0,0,0,3.8,0,0
"36","STRM09-1-1","STRM09",71.5,250,10.5,"run",1,27.5,30,2.5,7.5,52.5,0,7.5,0,100,77.4,0,1,0,0,0,2,0,0,1,2,0,0,5,0,0
"37","STRM09-1-2","STRM09",73,265,6,"riffle",2,18.5,40,2.5,5,42.5,0,10,0,100,77.8,0,0,0,0,0,2,0,0,0,2,0,0,5.3,0,0
"38","STRM09-1-3","STRM09",62.5,215,9,"run",3,18,37.5,10,10,25,0,17.5,0,100,76.9,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0
"39","STRM09-1-4","STRM09",59.5,230,10,"riffle/pool",4,17.5,17.5,7.5,5,40,10,20,0,100,76.8,0,1,0,0,0,5,0,0,1,5,0,0,4.6,0,0
"40","STRM09-1-5","STRM09",75,240,31,"riffle",5,2,55,7.5,10,5,0,22.5,0,100,76.8,0,0,0,0,0,6,0,0,0,6,0,0,4.8,0,0
"41","STRM06-1-1","STRM06",97,235,9,"riffle",1,26.5,17.5,17.5,12.5,47.5,0,2.5,2.5,100,76.9,0,0,0,2,0,0,0,0,2,0,0,1,4.7,0,0
"42","STRM06-1-2","STRM06",71,280,10,"run",2,17.5,10,5,55,27.5,0,2.5,0,100,76,1,1,0,0,0,3,0,0,2,3,1,1,5.6,7.14e-05,4.08e-06
"43","STRM06-1-3","STRM06",93.5,270,13,"run",3,19,52.5,2.5,25,17.5,0,2.5,0,100,76.4,0,0,0,2,0,1,0,0,2,1,0,1,5.4,0,0
"44","STRM06-1-4","STRM06",51.5,225,9,"pool",4,29,12.5,5,7.5,70,0,5,0,100,76.5,0,1,0,0,1,5,0,0,2,5,0,1,4.5,0,0
"45","STRM06-1-5","STRM06",71,255,14,"riffle",5,19,7.5,2.5,5,80,0,5,0,100,76.5,0,0,0,2,0,7,0,0,2,7,0,1,5.1,0,0
"46","STRM10-1-1","STRM10",111.5,465,5,"riffle",1,25,45,5,5,35,0,10,0,100,77.3,0,0,1,1,2,3,0,0,3,4,0,1,9.3,0,0
"47","STRM10-1-2","STRM10",114,410,5,"run",2,18.5,7.5,10,15,47.5,10,10,0,100,77.1,0,1,0,0,0,1,0,0,1,1,0,1,8.2,0,0
"48","STRM10-1-3","STRM10",66,325,8,"run",3,24,2.5,5,27.5,47.5,0,17.5,0,100,76.9,0,1,1,1,0,1,0,0,2,2,0,1,6.5,0,0
"49","STRM10-1-4","STRM10",72,350,11,"riffle",4,23,25,37.5,5,27.5,0,5,0,100,76.9,0,0,0,0,0,5,0,0,0,5,0,1,7,0,0
"50","STRM10-1-5","STRM10",64,390,6,"riffle",5,13.5,12.5,17.5,0,52.5,2.5,15,0,100,77.7,1,1,0,1,1,1,0,0,4,1,1,1,7.8,5.13e-05,3.8e-06
"51","STRM02-3-1","STRM02",72,205,6,"riffle",1,15,25,0,5,50,0,20,0,100,79.3,0,0,0,6,0,0,1,0,7,0,0,1,4.1,0,0
"52","STRM02-3-2","STRM02",65.5,187,6,"riffle",2,6.5,45,2.5,7.5,17.5,0,25,2.5,100,78.8,2,1,0,0,0,0,0,0,3,0,1,1,3.74,0.0002139037433,3.29e-05
"53","STRM02-3-3","STRM02",56,166,8,"run",3,9,20,0,0,50,0,25,5,100,78.4,1,1,0,3,0,2,0,0,5,2,1,1,3.32,0.0001204819277,1.34e-05
"54","STRM02-3-4","STRM02",79.5,225,6,"riffle",4,15.5,10,2.5,12.5,52.5,0,22.5,0,100,78.4,2,3,0,1,0,0,0,0,6,0,1,1,4.5,0.0001777777778,1.15e-05
"55","STRM02-3-5","STRM02",53,141,11,NA,5,13,10,2.5,20,50,0,17.5,0,100,77.6,1,0,0,1,0,0,0,0,2,0,1,1,2.82,0.0001418439716,1.09e-05
